Graph contains edges with negative weight.
Shortest paths lengths:
1 - 2: 11
1 - 3: 9
1 - 4: 27
1 - 6: 33
1 - 7: 20
1 - 9: 39
1 - 10: 22
1 - 12: 13
1 - 13: 24
1 - 15: 6
2 - 3: 6
2 - 10: 11
2 - 6: 22
4 - 3: 2
5 - 9: 18
5 - 3: 8
5 - 4: 6
5 - 13: 3
8 - 9: 25
8 - 3: 12
8 - 4: 13
8 - 13: 10
9 - 3: 4
9 - 4: 2
10 - 2: 2
10 - 3: 8
10 - 6: 11
11 - 2: 17
11 - 3: 14
11 - 4: 12
11 - 6: 39
11 - 9: 10
11 - 10: 28
11 - 12: 10
11 - 13: 21
12 - 2: 7
12 - 3: 13
12 - 4: 14
12 - 6: 29
12 - 9: 26
12 - 10: 18
12 - 13: 11
13 - 9: 15
13 - 3: 5
13 - 4: 3
14 - 2: -1
14 - 3: 5
14 - 4: 6
14 - 6: 18
14 - 9: 18
14 - 10: 7
14 - 12: -8
14 - 13: 3
15 - 2: 10
15 - 3: 16
15 - 4: 21
15 - 6: 32
15 - 7: 14
15 - 9: 33
15 - 10: 21
15 - 12: 7
15 - 13: 18
