Graph contains edges with negative weight.
Shortest paths lengths:
1 - 2: 15
1 - 3: 5
1 - 4: 12
1 - 5: 22
1 - 6: 17
1 - 7: 14
1 - 8: 14
1 - 9: 15
1 - 10: 10
1 - 11: 15
1 - 12: 10
1 - 13: 25
1 - 14: 25
1 - 15: 17
1 - 16: 10
1 - 17: 14
1 - 18: 8
1 - 19: 14
1 - 20: 4
1 - 21: 10
1 - 22: 9
1 - 23: 12
1 - 24: 8
1 - 25: 12
1 - 26: 9
1 - 27: 16
1 - 28: 16
1 - 29: 22
1 - 30: -2
1 - 31: 9
1 - 32: 5
1 - 33: 21
1 - 34: 6
1 - 35: 13
1 - 36: 7
1 - 37: 15
1 - 38: 11
1 - 39: 17
1 - 40: 18
1 - 41: 12
1 - 42: 9
1 - 43: 24
1 - 44: 17
1 - 45: 15
1 - 46: 15
1 - 47: 13
1 - 48: 11
1 - 49: 22
1 - 50: 13
2 - 1: 27
2 - 3: 11
2 - 4: 19
2 - 5: 12
2 - 6: 6
2 - 7: 14
2 - 8: 15
2 - 9: 16
2 - 10: 10
2 - 11: 6
2 - 12: 16
2 - 13: 19
2 - 14: 23
2 - 15: 12
2 - 16: 11
2 - 17: 13
2 - 18: 8
2 - 19: 20
2 - 20: 5
2 - 21: 10
2 - 22: 9
2 - 23: 12
2 - 24: 9
2 - 25: 13
2 - 26: 5
2 - 27: 17
2 - 28: 6
2 - 29: 12
2 - 30: -1
2 - 31: 10
2 - 32: 5
2 - 33: 17
2 - 34: 7
2 - 35: 19
2 - 36: 7
2 - 37: 9
2 - 38: 12
2 - 39: 20
2 - 40: 9
2 - 41: 13
2 - 42: 9
2 - 43: 12
2 - 44: 14
2 - 45: 2
2 - 46: 12
2 - 47: 13
2 - 48: -3
2 - 49: 10
2 - 50: 11
3 - 1: 16
3 - 2: 10
3 - 4: 14
3 - 5: 17
3 - 6: 12
3 - 7: 9
3 - 8: 13
3 - 9: 13
3 - 10: 5
3 - 11: 11
3 - 12: 5
3 - 13: 20
3 - 14: 24
3 - 15: 14
3 - 16: 9
3 - 17: 9
3 - 18: 3
3 - 19: 9
3 - 20: 6
3 - 21: 5
3 - 22: 4
3 - 23: 7
3 - 24: 7
3 - 25: 14
3 - 26: 8
3 - 27: 11
3 - 28: 11
3 - 29: 17
3 - 30: 0
3 - 31: 11
3 - 32: 0
3 - 33: 17
3 - 34: 5
3 - 35: 8
3 - 36: 2
3 - 37: 10
3 - 38: 10
3 - 39: 12
3 - 40: 13
3 - 41: 14
3 - 42: 4
3 - 43: 22
3 - 44: 12
3 - 45: 10
3 - 46: 10
3 - 47: 8
3 - 48: 7
3 - 49: 20
3 - 50: 8
4 - 1: 42
4 - 2: 34
4 - 3: 26
4 - 5: 38
4 - 6: 36
4 - 7: 35
4 - 8: 30
4 - 9: 31
4 - 10: 31
4 - 11: 31
4 - 12: 31
4 - 13: 43
4 - 14: 38
4 - 15: 30
4 - 16: 26
4 - 17: 30
4 - 18: 29
4 - 19: 35
4 - 20: 20
4 - 21: 31
4 - 22: 30
4 - 23: 33
4 - 24: 24
4 - 25: 28
4 - 26: 25
4 - 27: 32
4 - 28: 36
4 - 29: 39
4 - 30: 14
4 - 31: 25
4 - 32: 26
4 - 33: 14
4 - 34: 22
4 - 35: 34
4 - 36: 28
4 - 37: 24
4 - 38: 27
4 - 39: 38
4 - 40: 27
4 - 41: 28
4 - 42: 30
4 - 43: 40
4 - 44: 35
4 - 45: 36
4 - 46: 36
4 - 47: 34
4 - 48: 27
4 - 49: 38
4 - 50: 34
5 - 1: 30
5 - 2: 18
5 - 3: 15
5 - 4: 26
5 - 6: 9
5 - 7: 17
5 - 8: 18
