Graph contains edges with negative weight.
Shortest paths lengths:
1 - 2: 42
1 - 5: 29
1 - 8: 70
1 - 10: 10
1 - 12: 34
1 - 13: 41
1 - 14: 50
1 - 15: 48
1 - 18: 38
1 - 23: 25
1 - 24: 58
1 - 26: 35
1 - 27: 43
1 - 28: 69
1 - 29: 44
1 - 30: 26
1 - 31: 30
1 - 32: 29
1 - 34: 35
1 - 35: 25
1 - 40: 41
1 - 41: 54
1 - 45: 25
1 - 47: 39
2 - 5: 35
2 - 8: 76
2 - 12: 2
2 - 13: 47
2 - 14: 8
2 - 15: 54
2 - 18: 20
2 - 23: 31
2 - 24: 64
2 - 26: 17
2 - 27: 49
2 - 28: 75
2 - 29: 50
2 - 30: 32
2 - 31: 36
2 - 32: 35
2 - 34: 41
2 - 35: -7
2 - 40: 47
2 - 41: 60
2 - 45: 31
2 - 47: 45
3 - 2: 36
3 - 5: 10
3 - 8: 64
3 - 12: 28
3 - 13: 35
3 - 14: 44
3 - 15: 42
3 - 17: 11
3 - 18: 32
3 - 23: 19
3 - 24: 52
3 - 26: 29
3 - 27: 37
3 - 28: 63
3 - 29: 25
3 - 30: 20
3 - 31: 24
3 - 32: 10
3 - 34: 29
3 - 35: 19
3 - 40: 35
3 - 41: 48
3 - 45: 6
3 - 47: 33
4 - 2: 5
4 - 5: -21
4 - 8: 20
4 - 12: -16
4 - 13: -9
4 - 14: 13
4 - 15: -2
4 - 18: 1
4 - 23: -12
4 - 24: 8
4 - 26: -2
4 - 27: -7
4 - 28: 19
4 - 29: -6
4 - 30: -24
4 - 31: -20
4 - 32: -21
4 - 34: -15
4 - 35: -25
4 - 40: -9
4 - 41: 4
4 - 45: -25
4 - 47: -11
5 - 2: 26
5 - 8: 54
5 - 12: 18
5 - 13: 25
5 - 14: 34
5 - 15: 32
5 - 18: 22
5 - 23: 9
5 - 24: 42
5 - 26: 19
5 - 27: 27
5 - 28: 53
5 - 29: 28
5 - 30: 10
5 - 31: 14
5 - 32: 13
5 - 34: 19
5 - 35: 9
5 - 40: 25
5 - 41: 38
5 - 45: 9
5 - 47: 23
6 - 1: -4
6 - 2: 38
6 - 5: 25
6 - 8: 66
6 - 10: 6
6 - 12: 30
6 - 13: 37
6 - 14: 46
6 - 15: 44
6 - 18: 34
6 - 23: 21
6 - 24: 54
6 - 26: 31
6 - 27: 39
6 - 28: 65
6 - 29: 40
6 - 30: 22
6 - 31: 26
6 - 32: 25
6 - 34: 31
6 - 35: 21
6 - 40: 37
6 - 41: 50
6 - 45: 21
6 - 47: 35
10 - 2: 32
10 - 5: 19
10 - 8: 60
10 - 12: 24
10 - 13: 31
10 - 14: 40
10 - 15: 38
10 - 18: 28
10 - 23: 15
10 - 24: 48
10 - 26: 25
10 - 27: 33
10 - 28: 59
10 - 29: 34
10 - 30: 16
10 - 31: 20
10 - 32: 19
10 - 34: 25
10 - 35: 15
10 - 40: 31
10 - 41: 44
10 - 45: 15
10 - 47: 29
11 - 37: 24
11 - 8: 43
11 - 41: 27
11 - 12: 0
11 - 13: 14
11 - 48: 12
11 - 24: 31
11 - 28: 42
13 - 8: 29
13 - 24: 17
13 - 28: 28
13 - 41: 13
14 - 2: 16
14 - 5: 27
14 - 8: 68
14 - 12: -6
14 - 13: 39
14 - 15: 46
14 - 18: 12
14 - 23: 23
14 - 24: 56
14 - 26: 9
14 - 27: 41
14 - 28: 67
14 - 29: 42
14 - 30: 24
14 - 31: 28
14 - 32: 27
14 - 34: 33
14 - 35: -15
14 - 40: 39
14 - 41: 52
14 - 45: 23
14 - 47: 37
16 - 2: 38
16 - 5: 25
16 - 7: 6
16 - 8: 66
16 - 10: 6
16 - 12: 30
16 - 13: 37
16 - 14: 46
16 - 15: 16
16 - 18: 34
16 - 22: -3
16 - 23: 21
16 - 24: 54
16 - 26: 31
16 - 27: 11
16 - 28: 65
16 - 29: 40
16 - 30: 22
16 - 31: 26
16 - 32: 25
16 - 33: 5
16 - 34: 31
16 - 35: 21
16 - 39: 2
16 - 40: 22
16 - 41: 50
16 - 45: 21
16 - 46: 9
16 - 47: 35
16 - 50: 6
19 - 15: 9
20 - 2: 47
20 - 5: 21
20 - 8: 75
20 - 10: 24
20 - 12: 39
20 - 13: 46
20 - 14: 55
20 - 15: 25
20 - 18: 43
20 - 19: 16
20 - 21: 13
20 - 23: 30
20 - 24: 63
20 - 26: 40
20 - 27: 48
20 - 28: 74
20 - 29: 49
