Graph contains edges with negative weight.
Shortest paths lengths:
1 - 2: 16
1 - 3: 22
1 - 4: 22
1 - 5: 8
1 - 6: 3
1 - 7: 10
1 - 8: 9
1 - 9: 3
1 - 10: 14
1 - 11: 23
1 - 12: 14
1 - 13: 14
1 - 14: 31
1 - 15: 14
1 - 16: 8
1 - 17: 5
1 - 18: 16
1 - 19: 10
1 - 20: -11
1 - 21: 2
1 - 22: 28
1 - 24: 16
1 - 25: 17
1 - 26: 10
1 - 27: 19
1 - 28: 17
1 - 29: 2
1 - 31: 14
1 - 32: 11
1 - 33: 0
1 - 34: -5
1 - 35: 4
1 - 36: 16
1 - 37: 16
1 - 38: 2
1 - 39: 28
1 - 40: 24
1 - 41: -6
1 - 42: 10
1 - 43: 2
1 - 44: 17
1 - 46: 26
1 - 47: 2
1 - 48: 18
1 - 50: 13
2 - 1: 29
2 - 3: 45
2 - 4: 36
2 - 5: 32
2 - 6: 26
2 - 7: 39
2 - 8: 31
2 - 9: 32
2 - 10: 27
2 - 11: 47
2 - 12: 27
2 - 13: 43
2 - 14: 49
2 - 15: 43
2 - 16: 37
2 - 17: 20
2 - 18: 41
2 - 19: 33
2 - 20: 2
2 - 21: 25
2 - 22: 46
2 - 24: 29
2 - 25: 31
2 - 26: 33
2 - 27: 32
2 - 28: 39
2 - 29: 15
2 - 31: 38
2 - 32: 33
2 - 33: 29
2 - 34: 18
2 - 35: 17
2 - 36: 39
2 - 37: 38
2 - 38: 31
2 - 39: 45
2 - 40: 53
2 - 41: 23
2 - 42: 39
2 - 43: 30
2 - 44: 35
2 - 46: 39
2 - 47: 31
2 - 48: 31
2 - 50: 28
3 - 1: 16
3 - 2: 23
3 - 4: 34
3 - 5: 24
3 - 6: 19
3 - 7: 26
3 - 8: 25
3 - 9: 19
3 - 10: 30
3 - 11: 39
3 - 12: 30
3 - 13: 30
3 - 14: 26
3 - 15: 30
3 - 16: 11
3 - 17: 12
3 - 18: 19
3 - 19: 25
3 - 20: 5
3 - 21: 18
3 - 22: 23
3 - 24: 27
3 - 25: 29
3 - 26: 26
3 - 27: 8
3 - 28: 27
3 - 29: 18
3 - 31: 30
3 - 32: 21
3 - 33: 16
3 - 34: 11
3 - 35: 15
3 - 36: 32
3 - 37: 32
3 - 38: 18
3 - 39: 38
3 - 40: 40
3 - 41: 10
3 - 42: 26
3 - 43: 6
3 - 44: 12
3 - 46: 15
3 - 47: 18
3 - 48: 34
3 - 50: 20
4 - 20: 13
5 - 1: 29
5 - 2: 31
5 - 3: 32
5 - 4: 23
5 - 6: 28
5 - 7: 23
5 - 8: 18
5 - 9: 28
5 - 10: 29
5 - 11: 15
5 - 12: 29
5 - 13: 18
5 - 14: 23
5 - 15: 27
5 - 16: 25
5 - 17: 20
5 - 18: 33
5 - 19: 20
5 - 20: 8
5 - 21: 21
5 - 22: 20
5 - 24: 16
5 - 25: 18
5 - 26: 35
5 - 27: 16
5 - 28: 26
5 - 29: 21
5 - 31: 6
5 - 32: 20
5 - 33: 17
5 - 34: 20
5 - 35: 4
5 - 36: 35
5 - 37: 25
5 - 38: 12
5 - 39: 37
5 - 40: 28
5 - 41: 23
5 - 42: 39
5 - 43: 14
5 - 44: 9
5 - 46: 23
5 - 47: 25
5 - 48: 33
5 - 50: 28
6 - 1: 35
6 - 2: 37
6 - 3: 38
6 - 4: 29
6 - 5: 6
6 - 7: 29
6 - 8: 24
6 - 9: 34
6 - 10: 35
6 - 11: 21
6 - 12: 35
6 - 13: 24
6 - 14: 29
6 - 15: 33
6 - 16: 31
6 - 17: 26
6 - 18: 39
6 - 19: 26
6 - 20: 12
6 - 21: 27
6 - 22: 26
6 - 24: 22
6 - 25: 24
6 - 26: 41
6 - 27: 22
6 - 28: 32
6 - 29: 27
6 - 31: 12
6 - 32: 26
6 - 33: 23
6 - 34: 26
6 - 35: 10
6 - 36: 41
6 - 37: 31
6 - 38: 18
6 - 39: 43
6 - 40: 34
6 - 41: 29
6 - 42: 45
6 - 43: 20
6 - 44: 15
6 - 46: 29
6 - 47: 31
6 - 48: 39
6 - 50: 34
7 - 1: 20
7 - 2: 21
7 - 3: 37
7 - 4: 28
7 - 5: 20
7 - 6: 14
7 - 8: 9
7 - 9: 21
7 - 10: 19
7 - 11: 35
7 - 12: 19
7 - 13: 4
7 - 14: 41
7 - 15: 4
7 - 16: 28
7 - 17: 12
7 - 18: 23
7 - 19: 25
7 - 20: -6
7 - 21: 12
7 - 22: 38
7 - 24: 21
7 - 25: 23
7 - 26: 25
7 - 27: 14
7 - 28: 9
7 - 29: 7
7 - 31: 26
7 - 32: 3
7 - 33: 20
7 - 34: 6
7 - 35: 9
7 - 36: 25
7 - 37: 16
7 - 38: 22
7 - 39: 20
7 - 40: 14
7 - 41: 14
7 - 42: 30
7 - 43: 12
7 - 44: 27
7 - 46: 21
7 - 47: 16
7 - 48: 23
7 - 50: 20
8 - 1: 22
8 - 2: 13
8 - 3: 29
8 - 4: 29
8 - 5: 16
8 - 6: 10
8 - 7: 27
8 - 9: 20
8 - 10: 11
8 - 11: 31
8 - 12: 11
8 - 13: 27
8 - 14: 33
8 - 15: 14
8 - 16: 25
8 - 17: 14
8 - 18: 25
8 - 19: 26
8 - 20: -4
8 - 21: 3
8 - 22: 30
8 - 24: 23
8 - 25: 25
8 - 26: 17
8 - 27: 16
8 - 28: 8
8 - 29: 9
8 - 31: 22
8 - 32: 2
8 - 33: 17
8 - 34: 2
8 - 35: 11
8 - 36: 17
8 - 37: 7
8 - 38: 18
8 - 39: 19
8 - 40: 37
8 - 41: 11
8 - 42: 22
8 - 43: 12
8 - 44: 19
8 - 46: 23
8 - 47: 15
8 - 48: 15
8 - 50: 22
9 - 1: 34
9 - 2: 25
9 - 3: 41
9 - 4: 41
9 - 5: 28
9 - 6: 22
9 - 7: 39
9 - 8: 12
9 - 10: 23
9 - 11: 43
9 - 12: 23
9 - 13: 39
9 - 14: 45
9 - 15: 26
9 - 16: 37
9 - 17: 26
9 - 18: 37
9 - 19: 38
9 - 20: 8
9 - 21: 15
9 - 22: 42
9 - 24: 35
9 - 25: 37
9 - 26: 29
9 - 27: 28
9 - 28: 20
9 - 29: 21
9 - 31: 34
9 - 32: 14
9 - 33: 29
9 - 34: 14
9 - 35: 23
9 - 36: 29
9 - 37: 19
9 - 38: 30
9 - 39: 31
9 - 40: 49
9 - 41: 23
9 - 42: 34
9 - 43: 24
9 - 44: 31
9 - 46: 35
9 - 47: 27
9 - 48: 27
9 - 50: 34
10 - 1: 11
10 - 2: 27
10 - 3: 33
10 - 4: 33
10 - 5: 19
10 - 6: 14
10 - 7: 21
10 - 8: 20
10 - 9: 14
10 - 11: 32
10 - 12: 25
10 - 13: 25
10 - 14: 40
10 - 15: 25
10 - 16: 19
10 - 17: 16
10 - 18: 14
10 - 19: 16
10 - 20: 0
10 - 21: 13
10 - 22: 37
10 - 24: 27
10 - 25: 23
10 - 26: 21
10 - 27: 30
10 - 28: 28
10 - 29: 13
10 - 31: 23
10 - 32: 22
10 - 33: 11
10 - 34: 6
10 - 35: 15
10 - 36: 27
10 - 37: 27
10 - 38: 8
10 - 39: 39
10 - 40: 35
10 - 41: 5
10 - 42: 21
10 - 43: 13
10 - 44: 26
10 - 46: 37
10 - 47: 13
10 - 48: 29
10 - 50: 24
11 - 1: 15
11 - 2: 18
11 - 3: 36
11 - 4: 20
11 - 5: 23
11 - 6: 17
11 - 7: 12
11 - 8: 21
11 - 9: 15
11 - 10: 18
11 - 12: 18
11 - 13: 3
11 - 14: 40
11 - 15: 16
11 - 16: 10
11 - 17: 7
11 - 18: 18
11 - 19: 20
11 - 20: -7
11 - 21: 16
11 - 22: 37
11 - 24: 13
11 - 25: 15
11 - 26: 24
11 - 27: 13
11 - 28: 21
11 - 29: 6
11 - 31: 29
11 - 32: 15
11 - 33: 2
11 - 34: 9
11 - 35: 8
11 - 36: 30
11 - 37: 28
11 - 38: 17
11 - 39: 32
11 - 40: 13
11 - 41: 9
11 - 42: 25
11 - 43: 4
11 - 44: 26
11 - 46: 20
11 - 47: 10
11 - 48: 22
11 - 50: 15
12 - 1: 11
12 - 2: 2
12 - 3: 18
12 - 4: 18
12 - 5: 5
12 - 6: -1
12 - 7: 16
12 - 8: 5
12 - 9: 9
12 - 10: 0
12 - 11: 20
12 - 13: 20
12 - 14: 22
12 - 15: 19
12 - 16: 14
12 - 17: 3
12 - 18: 14
12 - 19: 16
12 - 20: -15
12 - 21: -2
12 - 22: 19
12 - 24: 12
12 - 25: 14
12 - 26: 6
12 - 27: 5
12 - 28: 13
12 - 29: -2
12 - 31: 11
12 - 32: 7
12 - 33: 6
12 - 34: -9
12 - 35: 0
12 - 36: 12
12 - 37: 12
12 - 38: 8
12 - 39: 18
12 - 40: 30
12 - 41: 0
12 - 42: 21
12 - 43: 3
12 - 44: 8
12 - 46: 12
12 - 47: 13
12 - 48: 4
12 - 50: 11
13 - 1: 16
13 - 2: 17
13 - 3: 33
13 - 4: 24
13 - 5: 20
13 - 6: 14
13 - 7: 26
13 - 8: 19
13 - 9: 19
13 - 10: 15
13 - 11: 35
13 - 12: 15
13 - 14: 37
13 - 15: 21
13 - 16: 24
13 - 17: 8
13 - 18: 19
13 - 19: 21
13 - 20: -10
13 - 21: 13
13 - 22: 34
13 - 24: 17
13 - 25: 19
13 - 26: 21
13 - 27: 20
13 - 28: 27
13 - 29: 3
13 - 31: 26
13 - 32: 21
13 - 33: 16
13 - 34: 6
13 - 35: 5
13 - 36: 27
13 - 37: 25
13 - 38: 18
13 - 39: 33
13 - 40: 10
13 - 41: 10
13 - 42: 26
13 - 43: 18
13 - 44: 23
13 - 46: 27
13 - 47: 18
13 - 48: 19
13 - 50: 16
14 - 1: 26
14 - 2: 29
14 - 3: 13
14 - 4: 44
14 - 5: 34
14 - 6: 29
14 - 7: 23
14 - 8: 32
14 - 9: 26
14 - 10: 40
14 - 11: 24
14 - 12: 40
14 - 13: 27
14 - 15: 27
14 - 16: 21
14 - 17: 18
14 - 18: 29
14 - 19: 29
14 - 20: 15
14 - 21: 27
14 - 22: 29
14 - 24: 37
14 - 25: 36
14 - 26: 36
14 - 27: 21
14 - 28: 32
14 - 29: 28
14 - 31: 15
14 - 32: 26
14 - 33: 13
14 - 34: 21
14 - 35: 28
14 - 36: 41
14 - 37: 39
14 - 38: 21
14 - 39: 43
14 - 40: 37
14 - 41: 20
14 - 42: 36
14 - 43: 15
14 - 44: 18
14 - 46: 28
14 - 47: 21
14 - 48: 44
14 - 50: 26
15 - 1: 23
15 - 2: 18
15 - 3: 34
15 - 4: 30
15 - 5: 16
15 - 6: 10
15 - 7: 27
15 - 8: 5
15 - 9: 20
15 - 10: 16
15 - 11: 31
15 - 12: 16
15 - 13: 14
15 - 14: 38
15 - 16: 25
15 - 17: 14
15 - 18: 30
15 - 19: 27
15 - 20: -4
15 - 21: 8
15 - 22: 35
15 - 24: 23
15 - 25: 25
15 - 26: 22
15 - 27: 21
15 - 28: 13
15 - 29: 9
15 - 31: 22
15 - 32: 7
15 - 33: 17
15 - 34: 2
15 - 35: 11
15 - 36: 22
15 - 37: 12
15 - 38: 19
15 - 39: 24
15 - 40: 24
15 - 41: 11
15 - 42: 27
15 - 43: 17
15 - 44: 24
15 - 46: 28
15 - 47: 20
15 - 48: 20
15 - 50: 22
16 - 1: 5
16 - 2: 21
16 - 3: 27
16 - 4: 27
16 - 5: 13
16 - 6: 8
16 - 7: 15
16 - 8: 14
16 - 9: 8
16 - 10: 19
16 - 11: 28
16 - 12: 19
16 - 13: 19
16 - 14: 36
16 - 15: 19
16 - 17: 10
16 - 18: 8
16 - 19: 15
16 - 20: -6
16 - 21: 7
16 - 22: 33
16 - 24: 21
16 - 25: 22
16 - 26: 15
16 - 27: 24
16 - 28: 22
16 - 29: 7
16 - 31: 19
16 - 32: 16
16 - 33: 5
16 - 34: 0
16 - 35: 9
16 - 36: 21
16 - 37: 21
16 - 38: 7
16 - 39: 33
16 - 40: 29
16 - 41: -1
16 - 42: 15
16 - 43: 7
16 - 44: 22
16 - 46: 31
16 - 47: 7
16 - 48: 23
16 - 50: 18
17 - 1: 9
17 - 2: 11
17 - 3: 31
17 - 4: 31
17 - 5: 17
17 - 6: 12
17 - 7: 19
17 - 8: 18
17 - 9: 12
17 - 10: 23
17 - 11: 32
17 - 12: 23
17 - 13: 23
17 - 14: 40
17 - 15: 23
17 - 16: 17
17 - 18: 25
17 - 19: 13
17 - 20: -2
17 - 21: 11
17 - 22: 37
17 - 24: 25
17 - 25: 26
17 - 26: 19
17 - 27: 18
17 - 28: 26
17 - 29: 11
17 - 31: 23
17 - 32: 20
17 - 33: 9
17 - 34: 4
17 - 35: 13
17 - 36: 25
17 - 37: 25
17 - 38: 11
17 - 39: 37
17 - 40: 33
17 - 41: 3
17 - 42: 19
17 - 43: 11
17 - 44: 26
17 - 46: 25
17 - 47: 11
17 - 48: 27
17 - 50: 8
18 - 1: -3
18 - 2: 13
18 - 3: 19
18 - 4: 19
18 - 5: 5
18 - 6: 0
18 - 7: 7
18 - 8: 6
18 - 9: 0
18 - 10: 11
18 - 11: 20
18 - 12: 11
18 - 13: 11
18 - 14: 28
18 - 15: 11
18 - 16: 5
18 - 17: 2
18 - 19: 7
18 - 20: -14
18 - 21: -1
18 - 22: 25
18 - 24: 13
18 - 25: 14
18 - 26: 7
18 - 27: 16
18 - 28: 14
18 - 29: -1
18 - 31: 11
18 - 32: 8
18 - 33: -3
18 - 34: -8
18 - 35: 1
18 - 36: 13
18 - 37: 13
18 - 38: -1
18 - 39: 25
18 - 40: 21
18 - 41: -9
18 - 42: 7
18 - 43: -1
18 - 44: 14
18 - 46: 23
18 - 47: -1
18 - 48: 15
18 - 50: 10
19 - 1: 36
19 - 2: 38
19 - 3: 39
19 - 4: 42
19 - 5: 44
19 - 6: 39
19 - 7: 30
19 - 8: 33
19 - 9: 35
19 - 10: 40
19 - 11: 22
19 - 12: 40
19 - 13: 25
19 - 14: 30
19 - 15: 34
19 - 16: 32
19 - 17: 27
19 - 18: 40
19 - 20: 15
19 - 21: 36
19 - 22: 27
19 - 24: 35
19 - 25: 34
19 - 26: 46
19 - 27: 23
19 - 28: 39
19 - 29: 28
19 - 31: 13
19 - 32: 33
19 - 33: 24
19 - 34: 31
19 - 35: 30
19 - 36: 50
19 - 37: 40
19 - 38: 19
19 - 39: 50
19 - 40: 35
19 - 41: 30
19 - 42: 46
19 - 43: 21
19 - 44: 16
19 - 46: 30
19 - 47: 32
19 - 48: 44
19 - 50: 35
21 - 1: 29
21 - 2: 20
21 - 3: 36
21 - 4: 36
21 - 5: 23
21 - 6: 17
21 - 7: 34
21 - 8: 7
21 - 9: 23
21 - 10: 18
21 - 11: 38
21 - 12: 18
21 - 13: 34
21 - 14: 40
21 - 15: 21
21 - 16: 32
21 - 17: 21
21 - 18: 32
21 - 19: 33
21 - 20: 3
21 - 22: 37
21 - 24: 30
21 - 25: 32
21 - 26: 24
21 - 27: 23
21 - 28: 15
21 - 29: 16
21 - 31: 29
21 - 32: 9
21 - 33: 24
21 - 34: 9
21 - 35: 18
21 - 36: 14
21 - 37: 14
21 - 38: 25
21 - 39: 26
21 - 40: 44
21 - 41: 18
21 - 42: 29
21 - 43: 9
21 - 44: 26
21 - 46: 30
21 - 47: 22
21 - 48: 22
21 - 50: 29
22 - 1: 28
22 - 2: 35
22 - 3: 12
22 - 4: 46
22 - 5: 36
22 - 6: 31
22 - 7: 38
22 - 8: 25
22 - 9: 13
22 - 10: 36
22 - 11: 51
22 - 12: 36
22 - 13: 42
22 - 14: 38
22 - 15: 39
22 - 16: 23
22 - 17: 24
22 - 18: 31
22 - 19: 37
22 - 20: 17
22 - 21: 28
22 - 24: 39
22 - 25: 41
22 - 26: 38
22 - 27: 20
22 - 28: 33
22 - 29: 30
22 - 31: 42
22 - 32: 27
22 - 33: 28
22 - 34: 23
22 - 35: 27
22 - 36: 42
22 - 37: 32
22 - 38: 30
22 - 39: 44
22 - 40: 52
22 - 41: 22
22 - 42: 38
22 - 43: 18
22 - 44: 24
22 - 46: 27
22 - 47: 8
22 - 48: 40
22 - 50: 32
23 - 1: 15
23 - 2: 14
23 - 3: 30
23 - 4: 26
23 - 5: 12
23 - 6: 6
23 - 7: 12
23 - 8: 1
23 - 9: 15
23 - 10: 12
23 - 11: 27
23 - 12: 12
23 - 13: 10
23 - 14: 34
23 - 15: -4
23 - 16: 10
23 - 17: 7
23 - 18: 18
23 - 19: 20
23 - 20: -8
23 - 21: 4
23 - 22: 31
23 - 24: 19
23 - 25: 21
23 - 26: 18
23 - 27: 17
23 - 28: 9
23 - 29: 5
23 - 31: 18
23 - 32: 3
23 - 33: 2
23 - 34: -2
23 - 35: 7
23 - 36: 18
23 - 37: 8
23 - 38: 15
23 - 39: 20
23 - 40: 20
23 - 41: 7
23 - 42: 5
23 - 43: 4
23 - 44: 20
23 - 46: 24
23 - 47: 10
23 - 48: 16
23 - 50: 15
24 - 1: 19
24 - 2: 21
24 - 3: 40
24 - 4: 7
24 - 5: 27
24 - 6: 21
24 - 7: 16
24 - 8: 25
24 - 9: 14
24 - 10: 22
24 - 11: 42
24 - 12: 22
