Graph contains edges with negative weight.
Shortest paths lengths:
1 - 2: 29
1 - 3: 29
1 - 4: 12
1 - 5: 7
1 - 6: 11
1 - 7: 39
1 - 8: 37
1 - 9: 35
1 - 10: 15
3 - 1: 27
3 - 2: 50
3 - 4: 39
3 - 5: 28
3 - 6: 20
3 - 7: 48
3 - 8: 20
3 - 9: 6
3 - 10: 42
4 - 2: 23
5 - 1: 30
5 - 2: 22
5 - 3: 22
5 - 4: 42
5 - 6: 41
5 - 7: 69
5 - 8: 30
5 - 9: 28
5 - 10: 45
6 - 1: 91
6 - 2: 53
6 - 3: 64
6 - 4: 30
6 - 5: 80
6 - 7: 28
6 - 8: 72
6 - 9: 58
6 - 10: 35
7 - 1: 63
7 - 2: 74
7 - 3: 36
7 - 4: 75
7 - 5: 52
7 - 6: 56
7 - 8: 44
7 - 9: 30
7 - 10: 7
8 - 1: 19
8 - 2: 42
8 - 3: -8
8 - 4: 31
8 - 5: 20
8 - 6: 12
8 - 7: 40
8 - 9: -2
8 - 10: 34
9 - 1: 33
9 - 2: 44
9 - 3: 6
9 - 4: 45
9 - 5: 22
9 - 6: 26
9 - 7: 54
9 - 8: 14
9 - 10: 48
10 - 1: 56
10 - 2: 67
10 - 3: 29
10 - 4: 68
10 - 5: 45
10 - 6: 49
10 - 7: 77
10 - 8: 37
10 - 9: 23
