Graph does not contain edges with negative weight.
Shortest paths lengths:
5 - 1: 14
5 - 2: 39
5 - 3: 55
5 - 4: 49
5 - 6: 75
5 - 7: 95
5 - 8: 94
5 - 9: 5
5 - 10: 101
5 - 11: 89
5 - 12: 64
5 - 13: 115
5 - 14: 86
5 - 15: 98
5 - 16: 107
5 - 17: 79
5 - 18: 38
5 - 19: 28
5 - 20: 74
5 - 21: 96
5 - 22: 50
5 - 23: 97
5 - 24: 69
5 - 25: 108
5 - 26: 26
5 - 27: 45
5 - 28: 101
5 - 29: 97
5 - 30: 110
5 - 31: 83
5 - 32: 102
5 - 33: 106
5 - 34: 35
5 - 35: 82
5 - 36: 64
5 - 37: 95
5 - 38: 57
5 - 39: 68
5 - 40: 66
5 - 41: 58
5 - 42: 12
5 - 43: 49
5 - 44: 61
5 - 45: 76
5 - 46: 42
5 - 47: 75
5 - 48: 93
5 - 49: 102
5 - 50: 95
