Graph contains edges with negative weight.
Shortest paths lengths:
26 - 1: 49
26 - 2: ∞
26 - 3: 16
26 - 4: ∞
26 - 5: ∞
26 - 6: 32
26 - 7: ∞
26 - 8: ∞
26 - 9: 73
26 - 10: ∞
26 - 11: ∞
26 - 12: 44
26 - 13: 27
26 - 14: ∞
26 - 15: ∞
26 - 16: 77
26 - 17: 21
26 - 18: 44
26 - 19: 8
26 - 20: 44
26 - 21: 58
26 - 22: 67
26 - 23: 68
26 - 24: 35
26 - 25: 72
26 - 27: 34
26 - 28: 64
26 - 29: 58
26 - 30: ∞
26 - 31: ∞
26 - 32: 24
26 - 33: 21
26 - 34: 61
26 - 35: ∞
26 - 36: ∞
26 - 37: 27
26 - 38: 64
26 - 39: 51
26 - 40: 5
26 - 41: 40
26 - 42: 78
26 - 43: 47
26 - 44: 49
26 - 45: ∞
26 - 46: ∞
26 - 47: ∞
26 - 48: ∞
26 - 49: 38
26 - 50: ∞
