Graph does not contain edges with negative weight.
Shortest paths lengths:
14 - 1: 34
14 - 2: 32
14 - 3: 15
14 - 4: 21
14 - 5: 26
14 - 6: 26
14 - 7: 23
14 - 8: 38
14 - 9: 27
14 - 10: 45
14 - 11: 13
14 - 12: 26
14 - 13: 42
14 - 15: 21
14 - 16: 33
14 - 17: 43
14 - 18: 26
14 - 19: 27
14 - 20: 34
14 - 21: 23
14 - 22: 19
14 - 23: 20
14 - 24: 8
14 - 25: 20
14 - 26: 7
14 - 27: 22
14 - 28: 32
14 - 29: 27
14 - 30: 25
14 - 31: 21
14 - 32: 33
14 - 33: 27
14 - 34: 22
14 - 35: 37
14 - 36: 29
14 - 37: 23
14 - 38: 30
14 - 39: 25
14 - 40: 26
14 - 41: 31
14 - 42: 20
14 - 43: 40
14 - 44: 31
14 - 45: 32
14 - 46: 28
14 - 47: 16
14 - 48: 27
14 - 49: 26
14 - 50: 18
