Graph contains edges with negative weight.
Shortest paths lengths:
50 - 1: 87
50 - 2: ∞
50 - 3: 80
50 - 4: 52
50 - 5: 82
50 - 6: 75
50 - 7: 70
50 - 8: 55
50 - 9: 98
50 - 10: 43
50 - 11: 67
50 - 12: 78
50 - 13: 43
50 - 14: 55
50 - 15: 126
50 - 16: 61
50 - 17: 71
50 - 18: 88
50 - 19: 107
50 - 20: 102
50 - 21: 162
50 - 22: 36
50 - 23: 52
50 - 24: 46
50 - 25: 96
50 - 26: 51
50 - 27: 178
50 - 28: 46
50 - 29: 33
50 - 30: ∞
50 - 31: 34
50 - 32: 101
50 - 33: 47
50 - 34: 37
50 - 35: ∞
50 - 36: 55
50 - 37: ∞
50 - 38: 68
50 - 39: 81
50 - 40: ∞
50 - 41: ∞
50 - 42: 58
50 - 43: 35
50 - 44: 39
50 - 45: 23
50 - 46: 64
50 - 47: 74
50 - 48: 141
50 - 49: 59
